reg,method,lr,coef,auc_mean,auc_std,slope_mean,slope_std,regime_mean,n
l2,static,0.001,0.0003,0.48428287205119286,0.012899420725468465,-0.007819115135423256,0.007084706689615505,,3
l2,static,0.001,0.001,0.5827747937527094,0.028869714943124195,-0.0019178360811224118,0.0015007643180712151,,3
l2,static,0.001,0.003,0.6323437112195802,0.010827989591369882,-0.0027428096409254526,0.0003310933426916058,,3
l2,static,0.001,0.01,0.255973615134268,0.00856160688248912,-0.006120166349258209,0.0019531882807286255,,3
l2,static,0.001,0.03,0.10381101317296455,0.00038993309552588426,-5.255903129808413e-06,3.146424757073772e-05,,3
l2,static,0.01,0.0003,0.10150262451101656,0.00019933683735438073,-2.585474008987713e-05,1.0390161024759972e-05,,3
l2,static,0.01,0.001,0.10131215428180311,0.00034206558427818206,1.230016713304873e-05,4.307366636002843e-05,,3
l2,static,0.01,0.003,0.10125309430979679,0.00036215674329577804,5.202864673028954e-06,3.6525406641588424e-05,,3
l2,static,0.01,0.01,0.10087462328174446,0.00037808502938058554,1.4705232384857662e-05,2.9515423275102483e-05,,3
l2,static,0.01,0.03,0.10111502339637705,0.000434020602423922,9.50541618870125e-06,4.036466708895629e-05,,3
l2,static_joint,0.001,0.0003,0.5018548443655794,0.02756114918618452,-0.006512346073254409,0.0015296185946829775,0.874,3
l2,static_joint,0.001,0.001,0.5838031391069914,0.007884607193522002,-0.00826226709152482,0.0005758227446660988,0.9380000000000001,3
l2,static_joint,0.001,0.003,0.661447852876126,0.0031586771897430745,-0.0016104424105227303,0.0005243046612935897,0.9426666666666667,3
l2,static_joint,0.001,0.01,0.29236392417999485,0.023429818895620538,-0.0033875380551796268,0.001197579376410888,0.9753333333333334,3
l2,static_joint,0.001,0.03,0.1008832931055887,0.0003338878712672146,-0.000326660089175158,0.00013872188594133433,0.026,3
l2,static_joint,0.01,0.0003,0.468372349734189,0.00828339730648563,-0.004495537782561093,0.002416802519440488,0.9420000000000001,3
l2,static_joint,0.01,0.001,0.5502268992418217,0.04026381568930082,0.007653878400130484,0.0022775524726314287,0.96,3
l2,static_joint,0.01,0.003,0.3607495078452759,0.20407398089530998,0.01091873480895182,0.007926718027343656,0.8133333333333334,3
l2,static_joint,0.01,0.01,0.10105538988879158,5.472003745354258e-05,-0.0002571978574970616,0.00015151519992560072,0.026,3
l2,static_joint,0.01,0.03,0.10094521718416068,0.00019785646046749437,-0.00026873290852007746,0.00012395719326016883,0.026,3
wass,static,0.001,0.0003,0.4021117171804893,0.12015840345809016,-0.013882509804646224,0.013635612951224061,,3
wass,static,0.001,0.001,0.5446511542217599,0.015546751928042625,-0.007687884470204061,0.0012115071557439003,,3
wass,static,0.001,0.003,0.6194120121445389,0.026689056549523568,-0.005840065552793826,0.0035109128231858677,,3
wass,static,0.001,0.01,0.6786706844243399,0.0037157640106200355,-0.005117202511856335,0.002626564608981218,,3
wass,static,0.001,0.03,0.6871046382913898,0.006038776904560759,-0.005144478844360932,0.0004193148551042393,,3
wass,static,0.01,0.0003,0.10156847868665374,0.0004806948663453949,-2.600810061255599e-05,5.293230604400937e-05,,3
wass,static,0.01,0.001,0.1013639371339749,0.0004414852107849132,4.3360820253045755e-06,3.9732574870875815e-05,,3
wass,static,0.01,0.003,0.10129539532374798,0.00042671756316532374,4.54133344034469e-06,4.06433587966298e-05,,3
wass,static,0.01,0.01,0.10112547464136568,0.00042822812922138485,-5.474710328832431e-06,3.349941776020063e-05,,3
wass,static,0.01,0.03,0.10071607674833476,0.0004798806092395766,3.2760255641814506e-06,3.1056173317655104e-05,,3
wass,static_joint,0.001,0.0003,0.4783475827230732,0.016264588124890785,-0.007366664504777754,0.002815762543276227,0.49866666666666665,3
wass,static_joint,0.001,0.001,0.5746400376496363,0.012320103996299837,-0.005667685034771212,0.0008762861082078203,0.5299999999999999,3
wass,static_joint,0.001,0.003,0.6317916779498763,0.02612526325663697,-0.004554586570505678,0.0030515218836110474,0.31866666666666665,3
wass,static_joint,0.001,0.01,0.6807494425850048,0.0052811859079189335,-0.005017425808425807,0.0029953643511132257,0.42533333333333334,3
wass,static_joint,0.001,0.03,0.6860736982996561,0.004605039043989906,-0.005392698877240875,0.0003521224978323458,0.7240000000000001,3
wass,static_joint,0.01,0.0003,0.13101026175774652,0.01677056289149203,-0.0013876311313747215,0.00171741658987751,0.08733333333333333,3
wass,static_joint,0.01,0.001,0.4378674382767862,0.04040598594852136,0.01471795375292638,0.004895811293448388,0.3753333333333333,3
wass,static_joint,0.01,0.003,0.5499274021982111,0.017988419701961335,0.010441338823094547,0.0003058323419974419,0.33266666666666667,3
wass,static_joint,0.01,0.01,0.6247437965969097,0.018898666026380285,0.012557610753053785,0.005346406294542442,0.5153333333333333,3
wass,static_joint,0.01,0.03,0.635067822176623,0.0034037966111754537,0.015430922161272231,0.004695056853319264,0.7886666666666667,3
