2025-05-07 17:33:33,903 INFO    MainThread:10046 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-05-07 17:33:33,904 INFO    MainThread:10046 [wandb_setup.py:_flush():68] Configure stats pid to 10046
2025-05-07 17:33:33,904 INFO    MainThread:10046 [wandb_setup.py:_flush():68] Loading settings from /Users/gunbir/.config/wandb/settings
2025-05-07 17:33:33,904 INFO    MainThread:10046 [wandb_setup.py:_flush():68] Loading settings from /Users/gunbir/Documents/continual/random/wandb/settings
2025-05-07 17:33:33,904 INFO    MainThread:10046 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-05-07 17:33:33,904 INFO    MainThread:10046 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/gunbir/Documents/continual/random/wandb/run-20250507_173333-zi48ch98/logs/debug.log
2025-05-07 17:33:33,904 INFO    MainThread:10046 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/gunbir/Documents/continual/random/wandb/run-20250507_173333-zi48ch98/logs/debug-internal.log
2025-05-07 17:33:33,904 INFO    MainThread:10046 [wandb_init.py:init():852] calling init triggers
2025-05-07 17:33:33,904 INFO    MainThread:10046 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'randomize_percent': 1.0, 'epochs': 10, 'batch_size': 512, 'dataset': 'MNIST', 'model': 'MLP', 'random_seed': 42, 'dropout': 0.0, 'initialization': 'none', '_wandb': {}}
2025-05-07 17:33:33,904 INFO    MainThread:10046 [wandb_init.py:init():893] starting backend
2025-05-07 17:33:33,904 INFO    MainThread:10046 [wandb_init.py:init():897] sending inform_init request
2025-05-07 17:33:33,925 INFO    MainThread:10046 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-05-07 17:33:33,925 INFO    MainThread:10046 [wandb_init.py:init():907] backend started and connected
2025-05-07 17:33:33,927 INFO    MainThread:10046 [wandb_init.py:init():1002] updated telemetry
2025-05-07 17:33:33,950 INFO    MainThread:10046 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-05-07 17:33:34,306 INFO    MainThread:10046 [wandb_init.py:init():1101] starting run threads in backend
2025-05-07 17:33:34,381 INFO    MainThread:10046 [wandb_run.py:_console_start():2566] atexit reg
2025-05-07 17:33:34,382 INFO    MainThread:10046 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-05-07 17:33:34,382 INFO    MainThread:10046 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-05-07 17:33:34,382 INFO    MainThread:10046 [wandb_run.py:_redirect():2506] Redirects installed.
2025-05-07 17:33:34,383 INFO    MainThread:10046 [wandb_init.py:init():1147] run started, returning control to user process
2025-05-07 18:05:50,246 INFO    MsgRouterThr:10046 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
